days,seconds
0,8635
0,1433
1,67869
119,20237
0,674
0,6610
30,35180
4,40904
12,689
0,1765
0,4139
0,126
7,4370
0,243
0,94
0,208
0,291
0,448
3,69630
0,13191
1,64253
0,140
0,3744
0,7828
0,52557
4,74333
0,4704
0,312
0,3246
0,75676
0,628
0,535
0,70640
0,74
0,7795
14,75135
0,4809
0,7306
0,1015
218,7080
0,10461
0,9664
0,1042
0,3753
0,556
0,16796
0,4264
0,75825
0,319
0,344
0,1595
0,491
0,92
0,5436
0,763
0,286
4,5671
1,182
4,64315
0,61483
0,24311
2,59677
57,43652
0,1562
0,733
0,3782
0,8328
0,22167
650,70939
3,59293
21,1394
0,312
3,36617
3,82508
0,167
0,221
243,77576
0,30713
0,295
0,573
0,50905
0,0
0,65895
0,1879
133,67970
15,4851
0,632
11,9398
0,10498
3,56161
0,49851
1194,58772
0,1152
268,67507
0,167
0,69242
0,299
203,23871
55,59191
0,1959
0,62790
0,452
0,678
0,591
0,19294
0,472
0,50172
0,67831
26,4010
0,30068
0,796
0,12198
0,5946
0,684
0,603
48,53372
0,185
0,20234
0,1013
0,1465
804,60899
2,1353
0,5724
0,505
